Store_Name,Address,City_State_Zip,Phone_Number,State
Allen Park,3223 Fairlane Drive,"Allen Park, MI  48101",(313) 254-4411,MI
Ann Arbor - N. Maple Rd. (Signature),155 N Maple Rd,"Ann Arbor, MI  48103",(734) 821-4976,MI
Bloomfield Hills,2050 South Telegraph Rd,"Bloomfield Hills, MI  48302",(248) 630-2720,MI
Clinton Township,17500 Hall Road,"Clinton Township, MI  48038",(586) 913-8587,MI
Grosse Pointe Woods,22327 Moross Road,"Detroit, MI  48236",(313) 732-9188,MI
Livonia,30273 Plymouth Road,"Livonia, MI  48150",(734) 956-9914,MI
Livonia - North,29659 7 Mile Rd,"Livonia, MI  48152",(734) 772-9590,MI
Plymouth,41128 Ann Arbor Rd E,"Plymouth, MI  48170",(734) 259-4370,MI
Roseville - Gratiot Ave,31055 Gratiot Ave,"Roseville, MI  48066",(586) 298-3030,MI
Royal Oak (Signature),25352 Woodward Ave,"Royal Oak, MI  48067",(248) 565-2750,MI
Shelby (Signature),7500 26 Mile Rd,"Shelby Township, MI  48316",(586) 935-0053,MI
Southfield,28661 Telegraph Road,"Southfield, MI  48034",(248) 436-0157,MI
St Clair Shores,20701 E. Eight Mile Road,"St. Clair Shores, MI  48080",(586) 772-0005,MI
Sterling Heights - Mound Rd.,44777 Mound Road,"Sterling Heights, MI  48314",(586) 930-0008,MI
Troy - Big Beaver Rd,710 E. Big Beaver Road,"Troy, MI  48083",(248) 434-0041,MI
Troy - W. Maple Rd. (Signature),3501 West Maple Road Suite A,"Troy, MI  48084",(248) 430-0584,MI
Warren,30195 Mound Rd,"Warren, MI  48092",(586) 501-0008,MI
Woodhaven,20940 West Road,"Woodhaven, MI  48183",(734) 672-9087,MI
